text,intent,response
Bu sabah yorgunluk,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Sırtım ağrıyor var,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Ateşim var çok şiddetli,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Su içme,general_health,Günde en az 8 bardak su için.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Bayıldım,emergency,Bayılma durumunda 112'yi arayın.
Sırtım ağrıyor var,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Hey sağlık asistanı,greeting,Hey! Size nasıl yardımcı olabilirim?
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Bu sabah uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Başım ağrıyor çok şiddetli,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Cilt problemi doktor,doctor_recommendation,Cilt için dermatoloji uzmanı.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Bu sabah uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Diz ağrım var çok şiddetli,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Bu sabah ateşim var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Ateşim var çok şiddetli,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
